repo_name,repo_created_at,repo_pushed_at,has_pipeline_state,run_created_at,run_completed_at,pipeline_completed,pipeline_stages
llms-expose-science-claude,2025-12-14T22:45:32Z,2025-12-15T00:10:07Z,False,,,,
ai-human-communication-claude,2025-12-15T00:11:12Z,2025-12-15T05:07:43Z,False,,,,
llm-nonsense-commands-codex,2025-12-15T01:14:17Z,2025-12-15T01:55:38Z,False,,,,
llms-expose-science-codex,2025-12-15T01:14:55Z,2025-12-15T02:02:58Z,False,,,,
ai-human-comm-codex,2025-12-15T01:58:17Z,2025-12-15T03:18:48Z,False,,,,
llm-nonsense-commands-gemini,2025-12-15T03:38:50Z,2025-12-15T05:15:23Z,False,,,,
llms-expose-science-gemini,2025-12-15T05:15:54Z,2025-12-16T08:03:50Z,False,,,,
ai-human-communication-gemini,2025-12-15T05:16:07Z,2025-12-16T07:13:47Z,False,,,,
llm-nonsense-commands-claude,2025-12-16T08:25:23Z,2026-03-22T03:58:16Z,True,2026-03-22T03:08:01.165836,2026-03-22T03:53:48.956929,True,resource_finder|experiment_runner
collab-disagreement-claude,2025-12-22T04:02:25Z,2025-12-22T05:32:52Z,False,,,,
collab-disagreement-codex,2025-12-22T04:03:00Z,2025-12-22T06:15:02Z,False,,,,
collab-disagreement-gemini,2025-12-22T04:03:12Z,2025-12-22T04:59:51Z,False,,,,
evolved-desire-llms-gemini,2025-12-22T05:03:12Z,2025-12-22T05:36:19Z,False,,,,
evolved-desire-llms-codex,2025-12-22T06:25:18Z,2025-12-22T06:45:11Z,False,,,,
evolved-desire-llms-claude,2025-12-22T06:25:35Z,2026-03-23T22:55:13Z,True,2026-03-23T19:47:31.920433,2026-03-23T22:50:52.125571,True,resource_finder|experiment_runner
ai-methods-durability-gemini,2025-12-22T06:26:00Z,2025-12-23T10:42:02Z,False,,,,
ai-methods-durability-codex,2025-12-22T06:47:08Z,2025-12-22T07:38:12Z,False,,,,
ai-methods-durability-claude,2025-12-22T18:35:56Z,2025-12-22T18:36:00Z,False,,,,
model-character-limit-gemini,2025-12-29T00:36:34Z,2025-12-29T04:47:52Z,False,,,,
model-character-limit-codex,2025-12-29T00:36:44Z,2025-12-29T01:01:09Z,False,,,,
model-character-limit-claude,2025-12-29T00:36:50Z,2026-03-23T00:14:07Z,True,2026-03-22T23:12:57.790494,2026-03-23T00:09:09.397746,True,resource_finder|experiment_runner
constrain-llm-behavior-codex,2025-12-29T01:10:30Z,2025-12-29T01:38:38Z,False,,,,
llm-behavior-constraints-claude,2025-12-29T05:35:14Z,2025-12-29T08:40:58Z,False,,,,
constrain-llm-behavior-gemini,2025-12-29T05:35:22Z,2025-12-30T17:27:25Z,False,,,,
ai-review-equilibrium-codex,2025-12-29T05:35:38Z,2025-12-29T07:13:14Z,False,,,,
ai-review-equilibrium-claude,2025-12-29T18:27:46Z,2025-12-29T19:47:51Z,False,,,,
ai-review-equilibrium-gemini,2025-12-30T17:29:37Z,2025-12-30T19:30:22Z,False,,,,
hide-prompts-length-gemini,2026-01-03T20:57:58Z,2026-01-03T23:43:13Z,False,,,,
adversarial-prompts-docs-codex,2026-01-03T20:58:10Z,2026-01-03T21:26:47Z,False,,,,
adversarial-prompts-claude,2026-01-03T20:58:20Z,2026-03-22T05:30:25Z,True,2026-03-22T03:08:01.938773,2026-03-22T05:24:35.510025,True,resource_finder|experiment_runner
latent-visual-reasoning-gemini,2026-01-03T23:04:08Z,2026-01-04T22:56:20Z,False,,,,
llm-keeping-secrets-gemini,2026-01-04T22:56:59Z,2026-01-05T00:19:29Z,False,,,,
latent-visual-reasoning-claude,2026-01-04T23:06:28Z,2026-01-04T23:35:08Z,False,,,,
latent-visual-reasoning-codex,2026-01-04T23:06:34Z,2026-01-04T23:25:53Z,False,,,,
llms-keep-secrets-codex,2026-01-04T23:37:28Z,2026-01-05T00:07:13Z,False,,,,
llms-keep-secrets-claude,2026-01-04T23:37:38Z,2026-01-05T03:47:42Z,False,,,,
auto-opt-pde-solver-claude,2026-01-06T16:48:28Z,2026-01-06T17:15:56Z,False,,,,
llm-epistemic-belief-claude,2026-01-09T21:39:52Z,2026-01-09T22:09:02Z,False,,,,
humor-recognition-llm-gemini,2026-01-11T04:28:23Z,2026-01-11T22:13:28Z,False,,,,
multi-scale-nested-gemini,2026-01-11T20:41:38Z,2026-01-11T22:47:02Z,False,,,,
recursion-visual-text-gemini,2026-01-11T21:51:11Z,2026-01-12T01:02:48Z,False,,,,
humor-recognition-llm-claude,2026-01-11T22:40:25Z,2026-03-21T09:12:24Z,True,2026-03-21T07:29:07.720057,2026-03-21T09:07:01.594786,True,resource_finder|experiment_runner
