repo_name,repo_status,mode,confidence,provider,n_files,has_pipeline_state,has_standard_logs,has_autoresearch,has_hitl,has_hitl_launch,evidence,repo_created_at,repo_pushed_at,capability_era,possible_modes_by_time,final_mode,final_confidence,mode_source
llms-expose-science-claude,executed,unknown,low,claude,56,False,True,False,False,False,insufficient runtime evidence,2025-12-14T22:45:32Z,2025-12-15T00:10:07Z,pre_autoresearch,standard,standard,high,historical_pre_autoresearch
ai-human-communication-claude,executed,unknown,low,claude,71,False,True,False,False,False,insufficient runtime evidence,2025-12-15T00:11:12Z,2025-12-15T05:07:43Z,pre_autoresearch,standard,standard,high,historical_pre_autoresearch
llm-nonsense-commands-codex,executed,unknown,low,codex,42,False,True,False,False,False,insufficient runtime evidence,2025-12-15T01:14:17Z,2025-12-15T01:55:38Z,pre_autoresearch,standard,standard,high,historical_pre_autoresearch
llms-expose-science-codex,executed,unknown,low,codex,36,False,True,False,False,False,insufficient runtime evidence,2025-12-15T01:14:55Z,2025-12-15T02:02:58Z,pre_autoresearch,standard,standard,high,historical_pre_autoresearch
ai-human-comm-codex,executed,unknown,low,codex,33,False,True,False,False,False,insufficient runtime evidence,2025-12-15T01:58:17Z,2025-12-15T03:18:48Z,pre_autoresearch,standard,standard,high,historical_pre_autoresearch
llm-nonsense-commands-gemini,executed,unknown,low,gemini,39,False,True,False,False,False,insufficient runtime evidence,2025-12-15T03:38:50Z,2025-12-15T05:15:23Z,pre_autoresearch,standard,standard,high,historical_pre_autoresearch
llms-expose-science-gemini,executed,unknown,low,gemini,39,False,True,False,False,False,insufficient runtime evidence,2025-12-15T05:15:54Z,2025-12-16T08:03:50Z,pre_autoresearch,standard,standard,high,historical_pre_autoresearch
ai-human-communication-gemini,executed,unknown,low,gemini,32,False,True,False,False,False,insufficient runtime evidence,2025-12-15T05:16:07Z,2025-12-16T07:13:47Z,pre_autoresearch,standard,standard,high,historical_pre_autoresearch
llm-nonsense-commands-claude,executed,standard,medium,codex,241,True,True,False,False,False,ordinary NeuriCo pipeline and execution logs; no AutoResearch/HITL artifacts,2025-12-16T08:25:23Z,2026-03-22T03:58:16Z,pre_autoresearch,standard,standard,medium,runtime_standard_structure
collab-disagreement-claude,executed,unknown,low,claude,54,False,True,False,False,False,insufficient runtime evidence,2025-12-22T04:02:25Z,2025-12-22T05:32:52Z,pre_autoresearch,standard,standard,high,historical_pre_autoresearch
collab-disagreement-codex,executed,unknown,low,codex,47,False,True,False,False,False,insufficient runtime evidence,2025-12-22T04:03:00Z,2025-12-22T06:15:02Z,pre_autoresearch,standard,standard,high,historical_pre_autoresearch
collab-disagreement-gemini,executed,unknown,low,gemini,34,False,True,False,False,False,insufficient runtime evidence,2025-12-22T04:03:12Z,2025-12-22T04:59:51Z,pre_autoresearch,standard,standard,high,historical_pre_autoresearch
evolved-desire-llms-gemini,executed,unknown,low,gemini,30,False,True,False,False,False,insufficient runtime evidence,2025-12-22T05:03:12Z,2025-12-22T05:36:19Z,pre_autoresearch,standard,standard,high,historical_pre_autoresearch
evolved-desire-llms-codex,executed,unknown,low,codex,36,False,True,False,False,False,insufficient runtime evidence,2025-12-22T06:25:18Z,2025-12-22T06:45:11Z,pre_autoresearch,standard,standard,high,historical_pre_autoresearch
evolved-desire-llms-claude,executed,standard,medium,codex,255,True,True,False,False,False,ordinary NeuriCo pipeline and execution logs; no AutoResearch/HITL artifacts,2025-12-22T06:25:35Z,2026-03-23T22:55:13Z,pre_autoresearch,standard,standard,medium,runtime_standard_structure
ai-methods-durability-gemini,executed,unknown,low,gemini,54,False,True,False,False,False,insufficient runtime evidence,2025-12-22T06:26:00Z,2025-12-23T10:42:02Z,pre_autoresearch,standard,standard,high,historical_pre_autoresearch
ai-methods-durability-codex,executed,unknown,low,codex,42,False,True,False,False,False,insufficient runtime evidence,2025-12-22T06:47:08Z,2025-12-22T07:38:12Z,pre_autoresearch,standard,standard,high,historical_pre_autoresearch
ai-methods-durability-claude,unclassified_content,unknown,low,claude,2,False,False,False,False,False,insufficient runtime evidence,2025-12-22T18:35:56Z,2025-12-22T18:36:00Z,pre_autoresearch,standard,unknown,low,historical_constraint_only
model-character-limit-gemini,executed,unknown,low,gemini,36,False,True,False,False,False,insufficient runtime evidence,2025-12-29T00:36:34Z,2025-12-29T04:47:52Z,pre_autoresearch,standard,standard,high,historical_pre_autoresearch
model-character-limit-codex,executed,unknown,low,codex,44,False,True,False,False,False,insufficient runtime evidence,2025-12-29T00:36:44Z,2025-12-29T01:01:09Z,pre_autoresearch,standard,standard,high,historical_pre_autoresearch
