repo_name,provider,trace_family,n_runtime_transcripts,n_resource_transcripts,n_execution_transcripts,n_other_runtime_transcripts,n_log_files,runtime_transcript_examples,other_transcript_examples
llms-expose-science-claude,claude,runtime_transcript,2,1,1,0,5,logs/execution_claude_transcript.jsonl|logs/resource_finder_claude_transcript.jsonl,
ai-human-communication-claude,claude,runtime_transcript,2,1,1,0,5,logs/execution_claude_transcript.jsonl|logs/resource_finder_claude_transcript.jsonl,
llm-nonsense-commands-codex,codex,runtime_transcript,2,1,1,0,5,logs/execution_codex_transcript.jsonl|logs/resource_finder_codex_transcript.jsonl,
llms-expose-science-codex,codex,runtime_transcript,2,1,1,0,5,logs/execution_codex_transcript.jsonl|logs/resource_finder_codex_transcript.jsonl,
ai-human-comm-codex,codex,runtime_transcript,1,1,0,0,4,logs/resource_finder_codex_transcript.jsonl,
llm-nonsense-commands-gemini,gemini,runtime_transcript,2,1,1,0,5,logs/execution_gemini_transcript.jsonl|logs/resource_finder_gemini_transcript.jsonl,
llms-expose-science-gemini,gemini,runtime_transcript,2,1,1,0,5,logs/execution_gemini_transcript.jsonl|logs/resource_finder_gemini_transcript.jsonl,
ai-human-communication-gemini,gemini,runtime_transcript,2,1,1,0,5,logs/execution_gemini_transcript.jsonl|logs/resource_finder_gemini_transcript.jsonl,
llm-nonsense-commands-claude,codex,runtime_transcript,2,1,1,0,6,logs/execution_claude_transcript.jsonl|logs/resource_finder_claude_transcript.jsonl,
collab-disagreement-claude,claude,runtime_transcript,2,1,1,0,5,logs/execution_claude_transcript.jsonl|logs/resource_finder_claude_transcript.jsonl,
collab-disagreement-codex,codex,runtime_transcript,2,1,1,0,5,logs/execution_codex_transcript.jsonl|logs/resource_finder_codex_transcript.jsonl,
collab-disagreement-gemini,gemini,runtime_transcript,2,1,1,0,5,logs/execution_gemini_transcript.jsonl|logs/resource_finder_gemini_transcript.jsonl,
evolved-desire-llms-gemini,gemini,runtime_transcript,2,1,1,0,5,logs/execution_gemini_transcript.jsonl|logs/resource_finder_gemini_transcript.jsonl,
evolved-desire-llms-codex,codex,runtime_transcript,2,1,1,0,5,logs/execution_codex_transcript.jsonl|logs/resource_finder_codex_transcript.jsonl,
evolved-desire-llms-claude,codex,runtime_transcript,2,1,1,0,6,logs/execution_claude_transcript.jsonl|logs/resource_finder_claude_transcript.jsonl,
ai-methods-durability-gemini,gemini,runtime_transcript,2,1,1,0,5,logs/execution_gemini_transcript.jsonl|logs/resource_finder_gemini_transcript.jsonl,
ai-methods-durability-codex,codex,runtime_transcript,2,1,1,0,5,logs/execution_codex_transcript.jsonl|logs/resource_finder_codex_transcript.jsonl,
model-character-limit-gemini,gemini,runtime_transcript,2,1,1,0,5,logs/execution_gemini_transcript.jsonl|logs/resource_finder_gemini_transcript.jsonl,
model-character-limit-codex,codex,runtime_transcript,2,1,1,0,5,logs/execution_codex_transcript.jsonl|logs/resource_finder_codex_transcript.jsonl,
model-character-limit-claude,codex,runtime_transcript,2,1,1,0,6,logs/execution_claude_transcript.jsonl|logs/resource_finder_claude_transcript.jsonl,
constrain-llm-behavior-codex,codex,runtime_transcript,2,1,1,0,5,logs/execution_codex_transcript.jsonl|logs/resource_finder_codex_transcript.jsonl,
llm-behavior-constraints-claude,claude,runtime_transcript,2,1,1,0,5,logs/execution_claude_transcript.jsonl|logs/resource_finder_claude_transcript.jsonl,
ai-review-equilibrium-codex,codex,runtime_transcript,2,1,1,0,5,logs/execution_codex_transcript.jsonl|logs/resource_finder_codex_transcript.jsonl,
ai-review-equilibrium-claude,claude,runtime_transcript,2,1,1,0,5,logs/execution_claude_transcript.jsonl|logs/resource_finder_claude_transcript.jsonl,
ai-review-equilibrium-gemini,gemini,runtime_transcript,2,1,1,0,5,logs/execution_gemini_transcript.jsonl|logs/resource_finder_gemini_transcript.jsonl,
hide-prompts-length-gemini,gemini,runtime_transcript,2,1,1,0,5,logs/execution_gemini_transcript.jsonl|logs/resource_finder_gemini_transcript.jsonl,
adversarial-prompts-docs-codex,codex,runtime_transcript,2,1,1,0,5,logs/execution_codex_transcript.jsonl|logs/resource_finder_codex_transcript.jsonl,
adversarial-prompts-claude,codex,runtime_transcript,2,1,1,0,6,logs/execution_claude_transcript.jsonl|logs/resource_finder_claude_transcript.jsonl,
latent-visual-reasoning-gemini,gemini,runtime_transcript,2,1,1,0,5,logs/execution_gemini_transcript.jsonl|logs/resource_finder_gemini_transcript.jsonl,
llm-keeping-secrets-gemini,gemini,runtime_transcript,2,1,1,0,5,logs/execution_gemini_transcript.jsonl|logs/resource_finder_gemini_transcript.jsonl,
latent-visual-reasoning-claude,claude,runtime_transcript,2,1,1,0,5,logs/execution_claude_transcript.jsonl|logs/resource_finder_claude_transcript.jsonl,
latent-visual-reasoning-codex,codex,runtime_transcript,2,1,1,0,5,logs/execution_codex_transcript.jsonl|logs/resource_finder_codex_transcript.jsonl,
llms-keep-secrets-codex,codex,runtime_transcript,2,1,1,0,5,logs/execution_codex_transcript.jsonl|logs/resource_finder_codex_transcript.jsonl,
llms-keep-secrets-claude,claude,runtime_transcript,2,1,1,0,5,logs/execution_claude_transcript.jsonl|logs/resource_finder_claude_transcript.jsonl,
auto-opt-pde-solver-claude,claude,runtime_transcript,2,1,1,0,5,logs/execution_claude_transcript.jsonl|logs/resource_finder_claude_transcript.jsonl,
llm-epistemic-belief-claude,claude,runtime_transcript,2,1,1,0,5,logs/execution_claude_transcript.jsonl|logs/resource_finder_claude_transcript.jsonl,
humor-recognition-llm-gemini,gemini,runtime_transcript,2,1,1,0,5,logs/execution_gemini_transcript.jsonl|logs/resource_finder_gemini_transcript.jsonl,
multi-scale-nested-gemini,gemini,runtime_transcript,2,1,1,0,5,logs/execution_gemini_transcript.jsonl|logs/resource_finder_gemini_transcript.jsonl,
recursion-visual-text-gemini,gemini,runtime_transcript,2,1,1,0,5,logs/execution_gemini_transcript.jsonl|logs/resource_finder_gemini_transcript.jsonl,
humor-recognition-llm-claude,codex,runtime_transcript,2,1,1,0,6,logs/execution_claude_transcript.jsonl|logs/resource_finder_claude_transcript.jsonl,
multi-scale-nested-claude,claude,runtime_transcript,2,1,1,0,5,logs/execution_claude_transcript.jsonl|logs/resource_finder_claude_transcript.jsonl,
recursion-visual-text-claude,claude,runtime_transcript,2,1,1,0,5,logs/execution_claude_transcript.jsonl|logs/resource_finder_claude_transcript.jsonl,
emergent-misalignment-claude,claude,runtime_transcript,2,1,1,0,5,logs/execution_claude_transcript.jsonl|logs/resource_finder_claude_transcript.jsonl,
llm-human-vs-llm-ffea-gemini,claude,runtime_transcript,2,1,1,0,5,logs/execution_gemini_transcript.jsonl|logs/resource_finder_gemini_transcript.jsonl,
ai-undetectability-lb-dd40-gemini,claude,runtime_transcript,2,1,1,0,6,logs/execution_gemini_transcript.jsonl|logs/resource_finder_gemini_transcript.jsonl,
llm-human-vs-llm-54c9-claude,claude,runtime_transcript,2,1,1,0,6,logs/execution_claude_transcript.jsonl|logs/resource_finder_claude_transcript.jsonl,
llm-linguistic-eval-62f9-gemini,claude,runtime_transcript,4,2,2,0,8,logs/execution_claude_transcript.jsonl|logs/execution_gemini_transcript.jsonl|logs/resource_finder_claude_transcript.jsonl|logs/resource_finder_gemini_transcript.jsonl,
ai-undetectability-lb-433c-claude,claude,runtime_transcript,2,1,1,0,6,logs/execution_claude_transcript.jsonl|logs/resource_finder_claude_transcript.jsonl,
llm-linguistic-eval-bb29-claude,claude,runtime_transcript,2,1,1,0,6,logs/execution_claude_transcript.jsonl|logs/resource_finder_claude_transcript.jsonl,
auto-opt-pde-solver-65e0,claude,runtime_transcript,2,1,1,0,6,logs/execution_claude_transcript.jsonl|logs/resource_finder_claude_transcript.jsonl,
natural-hallucinations-1245-gemini,codex,runtime_transcript,2,1,1,0,6,logs/execution_gemini_transcript.jsonl|logs/resource_finder_gemini_transcript.jsonl,
natural-hallucinations-claude,codex,runtime_transcript,2,1,1,0,6,logs/execution_claude_transcript.jsonl|logs/resource_finder_claude_transcript.jsonl,
llm-output-length-claude,claude,runtime_transcript,2,1,1,0,6,logs/execution_claude_transcript.jsonl|logs/resource_finder_claude_transcript.jsonl,
mechanistic-llm-tools-claude,claude,runtime_transcript,2,1,1,0,6,logs/execution_claude_transcript.jsonl|logs/resource_finder_claude_transcript.jsonl,
natural-hallucinations-codex,codex,runtime_transcript,2,1,1,0,6,logs/execution_codex_transcript.jsonl|logs/resource_finder_codex_transcript.jsonl,
llm-output-length-codex,codex,runtime_transcript,2,1,1,0,6,logs/execution_codex_transcript.jsonl|logs/resource_finder_codex_transcript.jsonl,
llm-tool-selection-codex,codex,runtime_transcript,2,1,1,0,6,logs/execution_codex_transcript.jsonl|logs/resource_finder_codex_transcript.jsonl,
llm-output-length-gemini,codex,runtime_transcript,2,1,1,0,6,logs/execution_gemini_transcript.jsonl|logs/resource_finder_gemini_transcript.jsonl,
mechanistic-llm-tools-gemini,codex,runtime_transcript,2,1,1,0,6,logs/execution_gemini_transcript.jsonl|logs/resource_finder_gemini_transcript.jsonl,
fix-lazy-llms-claude,codex,runtime_transcript,2,1,1,0,7,logs/execution_claude_transcript.jsonl|logs/resource_finder_claude_transcript.jsonl,
fix-lazy-llms-codex,codex,runtime_transcript,2,1,1,0,6,logs/execution_codex_transcript.jsonl|logs/resource_finder_codex_transcript.jsonl,
fix-lazy-llms-gemini,codex,runtime_transcript,2,1,1,0,6,logs/execution_gemini_transcript.jsonl|logs/resource_finder_gemini_transcript.jsonl,
news-from-future-ai-claude,codex,runtime_transcript,2,1,1,0,6,logs/execution_claude_transcript.jsonl|logs/resource_finder_claude_transcript.jsonl,
news-future-ai-codex,codex,runtime_transcript,2,1,1,0,6,logs/execution_codex_transcript.jsonl|logs/resource_finder_codex_transcript.jsonl,
news-future-ai-gemini,codex,runtime_transcript,2,1,1,0,6,logs/execution_gemini_transcript.jsonl|logs/resource_finder_gemini_transcript.jsonl,
isolate-knowledge-updates-claude,codex,runtime_transcript,2,1,1,0,6,logs/execution_claude_transcript.jsonl|logs/resource_finder_claude_transcript.jsonl,
isolate-knowledge-updates-codex,codex,runtime_transcript,2,1,1,0,6,logs/execution_codex_transcript.jsonl|logs/resource_finder_codex_transcript.jsonl,
isolate-knowledge-updates-gemini,codex,runtime_transcript,2,1,1,0,7,logs/execution_gemini_transcript.jsonl|logs/resource_finder_gemini_transcript.jsonl,
carrot-or-stick-nlp-e135-claude,codex,runtime_transcript,2,1,1,0,6,logs/execution_claude_transcript.jsonl|logs/resource_finder_claude_transcript.jsonl,
carrot-or-stick-nlp-gemini,codex,runtime_transcript,2,1,1,0,9,logs/execution_gemini_transcript.jsonl|logs/resource_finder_gemini_transcript.jsonl,
carrot-or-stick-nlp-codex,codex,runtime_transcript,2,1,1,0,9,logs/execution_codex_transcript.jsonl|logs/resource_finder_codex_transcript.jsonl,
llm-washing-machine-gemini,codex,runtime_transcript,2,1,1,0,5,logs/execution_gemini_transcript.jsonl|logs/resource_finder_gemini_transcript.jsonl,
llm-washing-machine-codex,codex,runtime_transcript,2,1,1,0,6,logs/execution_codex_transcript.jsonl|logs/resource_finder_codex_transcript.jsonl,
llm-washing-machine-claude,codex,runtime_transcript,2,1,1,0,6,logs/execution_claude_transcript.jsonl|logs/resource_finder_claude_transcript.jsonl,
fix-user-intent-nlp-claude,codex,runtime_transcript,2,1,1,0,6,logs/execution_claude_transcript.jsonl|logs/resource_finder_claude_transcript.jsonl,
fix-user-intent-nlp-codex,codex,runtime_transcript,2,1,1,0,6,logs/execution_codex_transcript.jsonl|logs/resource_finder_codex_transcript.jsonl,
fixing-user-intent-gemini,codex,runtime_transcript,2,1,1,0,6,logs/execution_gemini_transcript.jsonl|logs/resource_finder_gemini_transcript.jsonl,
humor-recognition-llm-ca34-claude,codex,runtime_transcript,2,1,1,0,6,logs/execution_claude_transcript.jsonl|logs/resource_finder_claude_transcript.jsonl,
cefr-text-difficulty-0907-claude,codex,runtime_transcript,2,1,1,0,6,logs/execution_claude_transcript.jsonl|logs/resource_finder_claude_transcript.jsonl,
news-from-future-ai-aed4-claude,codex,runtime_transcript,2,1,1,0,6,logs/execution_claude_transcript.jsonl|logs/resource_finder_claude_transcript.jsonl,
llm-human-vs-llm-fa51-claude,codex,runtime_transcript,2,1,1,0,6,logs/execution_claude_transcript.jsonl|logs/resource_finder_claude_transcript.jsonl,
fix-lazy-llms-f21e-claude,codex,runtime_transcript,2,1,1,0,6,logs/execution_claude_transcript.jsonl|logs/resource_finder_claude_transcript.jsonl,
alignment-watermark-0988-claude,codex,runtime_transcript,1,0,1,0,5,logs/execution_claude_transcript.jsonl,
isolate-knowledge-updates-f3cd-claude,codex,runtime_transcript,2,1,1,0,6,logs/execution_claude_transcript.jsonl|logs/resource_finder_claude_transcript.jsonl,
mechanistic-llm-tools-53ce-claude,codex,runtime_transcript,1,0,1,0,5,logs/execution_claude_transcript.jsonl,
refine-llm-trading-e871-claude,codex,runtime_transcript,2,1,1,0,6,logs/execution_claude_transcript.jsonl|logs/resource_finder_claude_transcript.jsonl,
carrot-or-stick-nlp-1462-claude,codex,runtime_transcript,2,1,1,0,6,logs/execution_claude_transcript.jsonl|logs/resource_finder_claude_transcript.jsonl,
llm-linguistic-eval-dad4-claude,codex,runtime_transcript,2,1,1,0,6,logs/execution_claude_transcript.jsonl|logs/resource_finder_claude_transcript.jsonl,
llm-epistemic-beliefs-79a0-claude,codex,runtime_transcript,2,1,1,0,6,logs/execution_claude_transcript.jsonl|logs/resource_finder_claude_transcript.jsonl,
uncertainty-llms-75dc-claude,codex,runtime_transcript,2,1,1,0,6,logs/execution_claude_transcript.jsonl|logs/resource_finder_claude_transcript.jsonl,
llm-pragmatic-sensitivity-216e-claude,codex,runtime_transcript,2,1,1,0,6,logs/execution_claude_transcript.jsonl|logs/resource_finder_claude_transcript.jsonl,
collab-rlvr-reasoning-f8bd-claude,codex,runtime_transcript,2,1,1,0,6,logs/execution_claude_transcript.jsonl|logs/resource_finder_claude_transcript.jsonl,
emergent-misalignment-13b1-claude,codex,runtime_transcript,2,1,1,0,6,logs/execution_claude_transcript.jsonl|logs/resource_finder_claude_transcript.jsonl,
adversarial-prompts-abe2-claude,codex,runtime_transcript,2,1,1,0,6,logs/execution_claude_transcript.jsonl|logs/resource_finder_claude_transcript.jsonl,
fairness-llm-calibration-0618-claude,codex,runtime_transcript,2,1,1,0,6,logs/execution_claude_transcript.jsonl|logs/resource_finder_claude_transcript.jsonl,
sounds-like-ai-61e8-gemini,codex,runtime_transcript,2,1,1,0,6,logs/execution_gemini_transcript.jsonl|logs/resource_finder_gemini_transcript.jsonl,
