repo_name,head_commit_time,head_era,has_resource_prompt,has_research_prompt,has_transcript,has_report,has_state_md,has_autoresearch_runtime,has_hitl_runtime,proposed_mode,confidence,source
llms-expose-science-claude,2025-12-14T18:10:06-06:00,pre_autoresearch,True,True,True,True,False,False,False,standard,high,head_commit_pre_autoresearch
ai-human-communication-claude,2025-12-14T23:07:42-06:00,pre_autoresearch,True,True,True,True,False,False,False,standard,high,head_commit_pre_autoresearch
llm-nonsense-commands-codex,2025-12-14T19:55:36-06:00,pre_autoresearch,True,True,True,True,False,False,False,standard,high,head_commit_pre_autoresearch
llms-expose-science-codex,2025-12-14T20:02:56-06:00,pre_autoresearch,True,True,True,True,False,False,False,standard,high,head_commit_pre_autoresearch
ai-human-comm-codex,2025-12-14T21:18:42-06:00,pre_autoresearch,True,True,True,True,False,False,False,standard,high,head_commit_pre_autoresearch
llm-nonsense-commands-gemini,2025-12-14T23:15:15-06:00,pre_autoresearch,True,True,True,True,False,False,False,standard,high,head_commit_pre_autoresearch
llms-expose-science-gemini,2025-12-16T02:03:49-06:00,pre_autoresearch,True,True,True,True,False,False,False,standard,high,head_commit_pre_autoresearch
ai-human-communication-gemini,2025-12-16T01:13:46-06:00,pre_autoresearch,True,True,True,True,False,False,False,standard,high,head_commit_pre_autoresearch
collab-disagreement-claude,2025-12-21T23:32:49-06:00,pre_autoresearch,True,True,True,True,False,False,False,standard,high,head_commit_pre_autoresearch
collab-disagreement-codex,2025-12-22T00:15:00-06:00,pre_autoresearch,True,True,True,True,False,False,False,standard,high,head_commit_pre_autoresearch
collab-disagreement-gemini,2025-12-21T22:59:50-06:00,pre_autoresearch,True,True,True,True,False,False,False,standard,high,head_commit_pre_autoresearch
evolved-desire-llms-gemini,2025-12-21T23:36:18-06:00,pre_autoresearch,True,True,True,True,False,False,False,standard,high,head_commit_pre_autoresearch
evolved-desire-llms-codex,2025-12-22T00:45:09-06:00,pre_autoresearch,True,True,True,True,False,False,False,standard,high,head_commit_pre_autoresearch
ai-methods-durability-gemini,2025-12-23T04:42:01-06:00,pre_autoresearch,True,True,True,True,False,False,False,standard,high,head_commit_pre_autoresearch
ai-methods-durability-codex,2025-12-22T01:38:08-06:00,pre_autoresearch,True,True,True,True,False,False,False,standard,high,head_commit_pre_autoresearch
model-character-limit-gemini,2025-12-28T22:47:38-06:00,pre_autoresearch,True,True,True,True,False,False,False,standard,high,head_commit_pre_autoresearch
model-character-limit-codex,2025-12-28T19:01:06-06:00,pre_autoresearch,True,True,True,True,False,False,False,standard,high,head_commit_pre_autoresearch
constrain-llm-behavior-codex,2025-12-28T19:38:37-06:00,pre_autoresearch,True,True,True,True,False,False,False,standard,high,head_commit_pre_autoresearch
llm-behavior-constraints-claude,2025-12-29T02:40:57-06:00,pre_autoresearch,True,True,True,True,False,False,False,standard,high,head_commit_pre_autoresearch
ai-review-equilibrium-codex,2025-12-29T01:13:11-06:00,pre_autoresearch,True,True,True,True,False,False,False,standard,high,head_commit_pre_autoresearch
ai-review-equilibrium-claude,2025-12-29T13:47:50-06:00,pre_autoresearch,True,True,True,True,False,False,False,standard,high,head_commit_pre_autoresearch
ai-review-equilibrium-gemini,2025-12-30T13:30:17-06:00,pre_autoresearch,True,True,True,True,False,False,False,standard,high,head_commit_pre_autoresearch
hide-prompts-length-gemini,2026-01-03T17:43:12-06:00,pre_autoresearch,True,True,True,True,False,False,False,standard,high,head_commit_pre_autoresearch
adversarial-prompts-docs-codex,2026-01-03T15:26:46-06:00,pre_autoresearch,True,True,True,True,False,False,False,standard,high,head_commit_pre_autoresearch
latent-visual-reasoning-gemini,2026-01-04T16:56:14-06:00,pre_autoresearch,True,True,True,True,False,False,False,standard,high,head_commit_pre_autoresearch
llm-keeping-secrets-gemini,2026-01-04T18:19:28-06:00,pre_autoresearch,True,True,True,True,False,False,False,standard,high,head_commit_pre_autoresearch
latent-visual-reasoning-claude,2026-01-04T17:35:01-06:00,pre_autoresearch,True,True,True,True,False,False,False,standard,high,head_commit_pre_autoresearch
latent-visual-reasoning-codex,2026-01-04T17:25:47-06:00,pre_autoresearch,True,True,True,True,False,False,False,standard,high,head_commit_pre_autoresearch
llms-keep-secrets-codex,2026-01-04T18:07:11-06:00,pre_autoresearch,True,True,True,True,False,False,False,standard,high,head_commit_pre_autoresearch
llms-keep-secrets-claude,2026-01-04T21:47:39-06:00,pre_autoresearch,True,True,True,True,False,False,False,standard,high,head_commit_pre_autoresearch
auto-opt-pde-solver-claude,2026-01-06T11:15:55-06:00,pre_autoresearch,True,True,True,True,False,False,False,standard,high,head_commit_pre_autoresearch
llm-epistemic-belief-claude,2026-01-09T22:08:59+00:00,pre_autoresearch,True,True,True,True,False,False,False,standard,high,head_commit_pre_autoresearch
humor-recognition-llm-gemini,2026-01-11T16:13:22-06:00,pre_autoresearch,True,True,True,True,False,False,False,standard,high,head_commit_pre_autoresearch
multi-scale-nested-gemini,2026-01-11T16:47:00-06:00,pre_autoresearch,True,True,True,True,False,False,False,standard,high,head_commit_pre_autoresearch
recursion-visual-text-gemini,2026-01-11T19:02:47-06:00,pre_autoresearch,True,True,True,True,False,False,False,standard,high,head_commit_pre_autoresearch
multi-scale-nested-claude,2026-01-11T19:04:27-06:00,pre_autoresearch,True,True,True,True,False,False,False,standard,high,head_commit_pre_autoresearch
recursion-visual-text-claude,2026-01-11T23:03:45-06:00,pre_autoresearch,True,True,True,True,False,False,False,standard,high,head_commit_pre_autoresearch
emergent-misalignment-claude,2026-01-16T14:49:50-06:00,pre_autoresearch,True,True,True,True,False,False,False,standard,high,head_commit_pre_autoresearch
llm-human-vs-llm-ffea-gemini,2026-01-17T22:33:39-06:00,pre_autoresearch,True,True,True,True,False,False,False,standard,high,head_commit_pre_autoresearch
ai-undetectability-lb-dd40-gemini,2026-01-17T23:57:29-06:00,pre_autoresearch,True,True,True,True,False,False,False,standard,high,head_commit_pre_autoresearch
llm-human-vs-llm-54c9-claude,2026-01-18T03:45:07-06:00,pre_autoresearch,True,True,True,True,False,False,False,standard,high,head_commit_pre_autoresearch
llm-linguistic-eval-62f9-gemini,2026-01-18T23:52:57-06:00,pre_autoresearch,True,True,True,True,False,False,False,standard,high,head_commit_pre_autoresearch
ai-undetectability-lb-433c-claude,2026-01-18T21:36:26-06:00,pre_autoresearch,True,True,True,True,False,False,False,standard,high,head_commit_pre_autoresearch
llm-linguistic-eval-bb29-claude,2026-01-18T23:45:09-06:00,pre_autoresearch,True,True,True,True,False,False,False,standard,high,head_commit_pre_autoresearch
auto-opt-pde-solver-65e0,2026-01-21T11:54:09-06:00,pre_autoresearch,True,True,True,True,False,False,False,standard,high,head_commit_pre_autoresearch
natural-hallucinations-1245-gemini,2026-01-26T02:29:36-06:00,pre_autoresearch,True,True,True,True,False,False,False,standard,high,head_commit_pre_autoresearch
llm-output-length-claude,2026-01-24T21:37:10-06:00,pre_autoresearch,True,True,True,True,False,False,False,standard,high,head_commit_pre_autoresearch
mechanistic-llm-tools-claude,2026-01-24T23:06:19-06:00,pre_autoresearch,True,True,True,True,False,False,False,standard,high,head_commit_pre_autoresearch
natural-hallucinations-codex,2026-01-25T23:28:14-06:00,pre_autoresearch,True,True,True,True,False,False,False,standard,high,head_commit_pre_autoresearch
llm-output-length-codex,2026-01-26T01:04:24-06:00,pre_autoresearch,True,True,True,True,False,False,False,standard,high,head_commit_pre_autoresearch
llm-tool-selection-codex,2026-01-26T02:11:55-06:00,pre_autoresearch,True,True,True,True,False,False,False,standard,high,head_commit_pre_autoresearch
llm-output-length-gemini,2026-01-26T13:45:46-06:00,pre_autoresearch,True,True,True,True,False,False,False,standard,high,head_commit_pre_autoresearch
mechanistic-llm-tools-gemini,2026-01-26T14:50:07-06:00,pre_autoresearch,True,True,True,True,False,False,False,standard,high,head_commit_pre_autoresearch
fix-lazy-llms-claude,2026-01-31T19:53:28-06:00,pre_autoresearch,True,True,True,True,False,False,False,standard,high,head_commit_pre_autoresearch
fix-lazy-llms-codex,2026-01-31T17:57:47-06:00,pre_autoresearch,True,True,True,True,False,False,False,standard,high,head_commit_pre_autoresearch
fix-lazy-llms-gemini,2026-01-31T17:56:11-06:00,pre_autoresearch,True,True,True,True,False,False,False,standard,high,head_commit_pre_autoresearch
news-from-future-ai-claude,2026-01-31T21:25:08-06:00,pre_autoresearch,True,True,True,True,False,False,False,standard,high,head_commit_pre_autoresearch
news-future-ai-codex,2026-01-31T21:18:05-06:00,pre_autoresearch,True,True,True,True,False,False,False,standard,high,head_commit_pre_autoresearch
news-future-ai-gemini,2026-01-31T21:11:40-06:00,pre_autoresearch,True,True,True,True,False,False,False,standard,high,head_commit_pre_autoresearch
isolate-knowledge-updates-codex,2026-02-02T16:10:28-06:00,pre_autoresearch,True,True,True,True,False,False,False,standard,high,head_commit_pre_autoresearch
isolate-knowledge-updates-gemini,2026-02-01T18:53:09-06:00,pre_autoresearch,True,True,True,True,False,False,False,standard,high,head_commit_pre_autoresearch
carrot-or-stick-nlp-e135-claude,2026-02-06T09:15:00+00:00,pre_autoresearch,True,True,True,True,False,False,False,standard,high,head_commit_pre_autoresearch
carrot-or-stick-nlp-gemini,2026-02-07T16:54:42-06:00,pre_autoresearch,True,True,True,True,False,False,False,standard,high,head_commit_pre_autoresearch
carrot-or-stick-nlp-codex,2026-02-07T17:07:55-06:00,pre_autoresearch,True,True,True,True,False,False,False,standard,high,head_commit_pre_autoresearch
