repo_name,sample_reason,stage,transcript_path,n_records,bad_json_lines,record_types,message_roles,top_level_keys,n_with_timestamp,n_with_uuid,n_with_parent_tool_use_id,n_with_tool_use_result,n_with_message
llms-expose-science-claude,normal_claude,execution,logs/execution_claude_transcript.jsonl,0,28,,,,0,0,0,0,0
llms-expose-science-claude,normal_claude,resource_finder,logs/resource_finder_claude_transcript.jsonl,0,33,,,,0,0,0,0,0
llm-nonsense-commands-codex,normal_codex,execution,logs/execution_codex_transcript.jsonl,196,1,item.completed:140|item.started:50|item.updated:3|thread.started:1|turn.started:1|turn.completed:1,,type|item|thread_id|usage,0,0,0,0,0
llm-nonsense-commands-codex,normal_codex,resource_finder,logs/resource_finder_codex_transcript.jsonl,160,1,item.completed:107|item.started:46|item.updated:4|thread.started:1|turn.started:1|turn.completed:1,,type|item|thread_id|usage,0,0,0,0,0
llm-nonsense-commands-gemini,normal_gemini,execution,logs/execution_gemini_transcript.jsonl,245,14,message:109|tool_use:67|tool_result:67|init:1|result:1,,type|timestamp|tool_id|role|content|delta|status|tool_name|parameters|output|session_id|model|error|stats,245,0,0,0,0
llm-nonsense-commands-gemini,normal_gemini,resource_finder,logs/resource_finder_gemini_transcript.jsonl,179,17,message:71|tool_use:53|tool_result:53|init:1|result:1,,type|timestamp|tool_id|role|content|delta|status|tool_name|parameters|output|session_id|model|error|stats,179,0,0,0,0
llm-linguistic-eval-62f9-gemini,multi_provider,execution,logs/execution_claude_transcript.jsonl,106,0,assistant:64|user:40|system:1|result:1,assistant:64|user:40,type|session_id|uuid|message|parent_tool_use_id|tool_use_result|subtype|cwd|tools|mcp_servers|model|permissionMode|slash_commands|apiKeySource|claude_code_version|output_style|agents|skills|plugins|error|is_error|duration_ms|duration_api_ms|num_turns|result|total_cost_usd|usage|modelUsage|permission_denials,0,106,0,40,104
llm-linguistic-eval-62f9-gemini,multi_provider,execution,logs/execution_gemini_transcript.jsonl,98,5,message:49|tool_result:24|tool_use:23|init:1|result:1,,type|timestamp|role|content|delta|tool_id|status|tool_name|parameters|output|session_id|model|stats,98,0,0,0,0
llm-linguistic-eval-62f9-gemini,multi_provider,resource_finder,logs/resource_finder_claude_transcript.jsonl,147,0,assistant:85|user:60|system:1|result:1,assistant:85|user:60,type|session_id|uuid|message|parent_tool_use_id|tool_use_result|subtype|cwd|tools|mcp_servers|model|permissionMode|slash_commands|apiKeySource|claude_code_version|output_style|agents|skills|plugins|is_error|duration_ms|duration_api_ms|num_turns|result|total_cost_usd|usage|modelUsage|permission_denials,0,147,0,60,145
llm-linguistic-eval-62f9-gemini,multi_provider,resource_finder,logs/resource_finder_gemini_transcript.jsonl,13,3,tool_use:4|tool_result:4|message:3|init:1|result:1,,type|timestamp|tool_id|status|tool_name|parameters|output|role|content|delta|session_id|model|stats,13,0,0,0,0
when-should-an-ai-ask-for-clarification-f275-claude,paper_writer,execution,logs/execution_claude_transcript.jsonl,1946,0,system:983|assistant:562|user:374|tool_progress:25|rate_limit_event:1|result:1,assistant:562|user:374,type|uuid|session_id|subtype|parent_tool_use_id|message|timestamp|estimated_tokens|estimated_tokens_delta|request_id|tool_use_result|task_id|tool_use_id|tasks|description|task_type|status|output_file|summary|patch|tool_name|elapsed_time_seconds|heartbeat|isSynthetic|fast_mode_state|fast_mode_disabled_reason|rate_limit_info|cwd|tools|mcp_servers|model|permissionMode|slash_commands|terminal_slash_commands|apiKeySource|claude_code_version|output_style|agents|skills|plugins|capabilities|analytics_disabled|product_feedback_disabled|memory_paths|messaging_socket_path|is_error|duration_api_ms|num_turns|stop_reason|total_cost_usd|usage|modelUsage|permission_denials|terminal_reason|api_error_status|result|ttft_ms|ttft_stream_ms|time_to_request_ms|duration_ms,936,1946,25,366,936
