repo_name,trajectory_id,provider,stage,transcript_path,n_nonempty_lines,n_json_records,n_non_json_lines,n_canonical_events,n_unknown_structures,n_parse_exceptions,empty_transcript,read_failed,non_json_examples,parse_exception_examples,unknown_structures
1p-rlhf-claude,1p-rlhf-claude::claude,claude,resource_finder,logs/resource_finder_claude_transcript.jsonl,447,447,0,447,1,0,False,False,,,claude:user_block:document:1
1p-rlhf-claude,1p-rlhf-claude::claude,claude,execution,logs/execution_claude_transcript.jsonl,284,284,0,284,0,0,False,False,,,
abstraction-vs-grounding-claude,abstraction-vs-grounding-claude::claude,claude,resource_finder,logs/resource_finder_claude_transcript.jsonl,226,226,0,226,9,0,False,False,,,claude:user_block:document:9
abstraction-vs-grounding-claude,abstraction-vs-grounding-claude::claude,claude,execution,logs/execution_claude_transcript.jsonl,163,163,0,163,0,0,False,False,,,
adaptive-experimental-design-ead2,adaptive-experimental-design-ead2::claude,claude,resource_finder,logs/resource_finder_claude_transcript.jsonl,394,394,0,354,8,0,False,False,,,claude:user_block:document:8
adaptive-experimental-design-ead2,adaptive-experimental-design-ead2::claude,claude,execution,logs/execution_claude_transcript.jsonl,704,704,0,658,0,0,False,False,,,
adv-meta-llm-interpret-2f36-claude,adv-meta-llm-interpret-2f36-claude::claude,claude,resource_finder,logs/resource_finder_claude_transcript.jsonl,506,506,0,506,5,0,False,False,,,claude:user_block:document:5
adv-meta-llm-interpret-2f36-claude,adv-meta-llm-interpret-2f36-claude::claude,claude,execution,logs/execution_claude_transcript.jsonl,158,158,0,158,0,0,False,False,,,
adv-ood-robustness-3427-gemini,adv-ood-robustness-3427-gemini::gemini,gemini,resource_finder,logs/resource_finder_gemini_transcript.jsonl,244,142,102,142,1,0,False,False,line 1: 'YOLO mode is enabled. All tool calls will be automatically approved.' || line 2: 'Keychain initialization encountered an error: libsecret-1.so.0: cannot open shared object file: No such file or director' || line 3: 'Using FileKeychain fallback for secure storage.',,gemini:non_dict:1
adv-ood-robustness-3427-gemini,adv-ood-robustness-3427-gemini::gemini,gemini,execution,logs/execution_gemini_transcript.jsonl,807,451,356,451,0,0,False,False,line 1: 'YOLO mode is enabled. All tool calls will be automatically approved.' || line 2: 'Keychain initialization encountered an error: libsecret-1.so.0: cannot open shared object file: No such file or director' || line 3: 'Using FileKeychain fallback for secure storage.',,
adv-ood-robustness-6bad-codex,adv-ood-robustness-6bad-codex::codex,codex,resource_finder,logs/resource_finder_codex_transcript.jsonl,109,107,2,107,0,0,False,False,"line 1: 'WARNING: proceeding, even though we could not update PATH: Operation not permitted (os error 1)' || line 2: 'Reading prompt from stdin...'",,
adv-ood-robustness-6bad-codex,adv-ood-robustness-6bad-codex::codex,codex,execution,logs/execution_codex_transcript.jsonl,107,105,2,104,0,0,False,False,"line 1: 'WARNING: proceeding, even though we could not update PATH: Operation not permitted (os error 1)' || line 2: 'Reading prompt from stdin...'",,
adv-prompt-propagation-552e-claude,adv-prompt-propagation-552e-claude::claude,claude,resource_finder,logs/resource_finder_claude_transcript.jsonl,193,192,1,192,13,0,False,False,"line 154: '{""type"":""user"",""message"":{""role"":""user"",""content"":[{""tool_use_id"":""toolu_015DKVcywpACAo6mpK2GX7n7"",""type"":""tool_result"",'",,claude:user_block:document:13
