repo_name,repo_status,mode,confidence,provider,n_files,has_pipeline_state,has_standard_logs,has_autoresearch,has_hitl,has_hitl_launch,evidence
llms-expose-science-claude,executed,unknown,low,claude,56,False,True,False,False,False,insufficient runtime evidence
ai-human-communication-claude,executed,unknown,low,claude,71,False,True,False,False,False,insufficient runtime evidence
llm-nonsense-commands-codex,executed,unknown,low,codex,42,False,True,False,False,False,insufficient runtime evidence
llms-expose-science-codex,executed,unknown,low,codex,36,False,True,False,False,False,insufficient runtime evidence
ai-human-comm-codex,executed,unknown,low,codex,33,False,True,False,False,False,insufficient runtime evidence
llm-nonsense-commands-gemini,executed,unknown,low,gemini,39,False,True,False,False,False,insufficient runtime evidence
llms-expose-science-gemini,executed,unknown,low,gemini,39,False,True,False,False,False,insufficient runtime evidence
ai-human-communication-gemini,executed,unknown,low,gemini,32,False,True,False,False,False,insufficient runtime evidence
llm-nonsense-commands-claude,executed,standard,medium,codex,241,True,True,False,False,False,ordinary NeuriCo pipeline and execution logs; no AutoResearch/HITL artifacts
collab-disagreement-claude,executed,unknown,low,claude,54,False,True,False,False,False,insufficient runtime evidence
collab-disagreement-codex,executed,unknown,low,codex,47,False,True,False,False,False,insufficient runtime evidence
collab-disagreement-gemini,executed,unknown,low,gemini,34,False,True,False,False,False,insufficient runtime evidence
evolved-desire-llms-gemini,executed,unknown,low,gemini,30,False,True,False,False,False,insufficient runtime evidence
evolved-desire-llms-codex,executed,unknown,low,codex,36,False,True,False,False,False,insufficient runtime evidence
evolved-desire-llms-claude,executed,standard,medium,codex,255,True,True,False,False,False,ordinary NeuriCo pipeline and execution logs; no AutoResearch/HITL artifacts
ai-methods-durability-gemini,executed,unknown,low,gemini,54,False,True,False,False,False,insufficient runtime evidence
ai-methods-durability-codex,executed,unknown,low,codex,42,False,True,False,False,False,insufficient runtime evidence
ai-methods-durability-claude,unclassified_content,unknown,low,claude,2,False,False,False,False,False,insufficient runtime evidence
model-character-limit-gemini,executed,unknown,low,gemini,36,False,True,False,False,False,insufficient runtime evidence
model-character-limit-codex,executed,unknown,low,codex,44,False,True,False,False,False,insufficient runtime evidence
model-character-limit-claude,executed,standard,medium,codex,248,True,True,False,False,False,ordinary NeuriCo pipeline and execution logs; no AutoResearch/HITL artifacts
constrain-llm-behavior-codex,executed,unknown,low,codex,40,False,True,False,False,False,insufficient runtime evidence
llm-behavior-constraints-claude,executed,unknown,low,claude,44,False,True,False,False,False,insufficient runtime evidence
constrain-llm-behavior-gemini,unclassified_content,unknown,low,gemini,38,False,False,False,False,False,insufficient runtime evidence
ai-review-equilibrium-codex,executed,unknown,low,codex,47,False,True,False,False,False,insufficient runtime evidence
ai-review-equilibrium-claude,executed,unknown,low,claude,48,False,True,False,False,False,insufficient runtime evidence
ai-review-equilibrium-gemini,executed,unknown,low,gemini,70,False,True,False,False,False,insufficient runtime evidence
hide-prompts-length-gemini,executed,unknown,low,gemini,46,False,True,False,False,False,insufficient runtime evidence
adversarial-prompts-docs-codex,executed,unknown,low,codex,41,False,True,False,False,False,insufficient runtime evidence
adversarial-prompts-claude,executed,standard,medium,codex,305,True,True,False,False,False,ordinary NeuriCo pipeline and execution logs; no AutoResearch/HITL artifacts
latent-visual-reasoning-gemini,executed,unknown,low,gemini,73,False,True,False,False,False,insufficient runtime evidence
llm-keeping-secrets-gemini,executed,unknown,low,gemini,50,False,True,False,False,False,insufficient runtime evidence
latent-visual-reasoning-claude,executed,unknown,low,claude,53,False,True,False,False,False,insufficient runtime evidence
latent-visual-reasoning-codex,executed,unknown,low,codex,49,False,True,False,False,False,insufficient runtime evidence
llms-keep-secrets-codex,executed,unknown,low,codex,49,False,True,False,False,False,insufficient runtime evidence
llms-keep-secrets-claude,executed,unknown,low,claude,45,False,True,False,False,False,insufficient runtime evidence
auto-opt-pde-solver-claude,executed,unknown,low,claude,49,False,True,False,False,False,insufficient runtime evidence
llm-epistemic-belief-claude,executed,unknown,low,claude,46,False,True,False,False,False,insufficient runtime evidence
humor-recognition-llm-gemini,executed,unknown,low,gemini,52,False,True,False,False,False,insufficient runtime evidence
multi-scale-nested-gemini,executed,unknown,low,gemini,39,False,True,False,False,False,insufficient runtime evidence
recursion-visual-text-gemini,executed,unknown,low,gemini,37,False,True,False,False,False,insufficient runtime evidence
humor-recognition-llm-claude,executed,standard,medium,codex,319,True,True,False,False,False,ordinary NeuriCo pipeline and execution logs; no AutoResearch/HITL artifacts
multi-scale-nested-claude,executed,unknown,low,claude,52,False,True,False,False,False,insufficient runtime evidence
recursion-visual-text-claude,executed,unknown,low,claude,43,False,True,False,False,False,insufficient runtime evidence
emergent-misalignment-claude,executed,unknown,low,claude,64,False,True,False,False,False,insufficient runtime evidence
llm-human-vs-llm-ffea-gemini,executed,unknown,low,claude,43,False,True,False,False,False,insufficient runtime evidence
ai-undetectability-lb-dd40-gemini,executed,unknown,low,claude,66,False,True,False,False,False,insufficient runtime evidence
llm-human-vs-llm-54c9-claude,executed,unknown,low,claude,69,False,True,False,False,False,insufficient runtime evidence
llm-linguistic-eval-62f9-gemini,executed,unknown,low,claude,82,False,True,False,False,False,insufficient runtime evidence
