trajectory_id,repository_id,provider,n_transcripts,n_empty_transcripts,n_read_failed_transcripts,n_raw_records,n_non_json_lines,n_unknown_structures,n_parse_exceptions,n_canonical_events,event_expansion_ratio,n_message,n_tool_call,n_tool_result,n_artifact_change,n_error,n_status,n_other,stages
1p-rlhf-claude::claude,1p-rlhf-claude,claude,2,0,0,731,0,1,0,731,1.0,92,240,204,0,36,158,1,resource_finder|execution
abstraction-vs-grounding-claude::claude,abstraction-vs-grounding-claude,claude,2,0,0,389,0,9,0,389,1.0,71,115,111,0,4,79,9,resource_finder|execution
adaptive-experimental-design-ead2::claude,adaptive-experimental-design-ead2,claude,2,0,0,1098,0,8,0,1012,0.9216757741347905,46,156,151,0,5,646,8,resource_finder|execution
adv-meta-llm-interpret-2f36-claude::claude,adv-meta-llm-interpret-2f36-claude,claude,2,0,0,664,0,5,0,664,1.0,89,153,146,0,7,264,5,resource_finder|execution
adv-ood-robustness-3427-gemini::gemini,adv-ood-robustness-3427-gemini,gemini,2,0,0,593,458,1,0,593,1.0,300,144,139,0,5,4,1,resource_finder|execution
adv-ood-robustness-6bad-codex::codex,adv-ood-robustness-6bad-codex,codex,2,0,0,212,4,0,0,211,0.9952830188679245,47,77,75,2,2,8,0,resource_finder|execution
adv-prompt-propagation-552e-claude::claude,adv-prompt-propagation-552e-claude,claude,2,0,0,387,5,13,0,387,1.0,63,148,145,0,4,14,13,resource_finder|execution
adv-prompts-firewalls-claude::claude,adv-prompts-firewalls-claude,claude,2,0,0,555,0,4,0,555,1.0,71,147,141,0,6,186,4,resource_finder|execution
adv-robust-battery-sim-9bd0-claude::claude,adv-robust-battery-sim-9bd0-claude,claude,2,0,0,360,0,8,0,360,1.0,65,130,123,0,7,27,8,resource_finder|execution
adversarial-battery-4ef6-claude::claude,adversarial-battery-4ef6-claude,claude,2,0,0,338,0,10,0,338,1.0,42,103,98,0,5,80,10,resource_finder|execution
adversarial-ood-robustnes-73d8-claude::claude,adversarial-ood-robustnes-73d8-claude,claude,2,0,0,388,0,9,0,388,1.0,63,130,122,0,8,56,9,resource_finder|execution
adversarial-prompts-abe2-claude::claude,adversarial-prompts-abe2-claude,claude,2,0,0,674,1,6,0,674,1.0,87,283,266,0,16,16,6,resource_finder|execution
adversarial-prompts-claude::claude,adversarial-prompts-claude,claude,2,0,0,798,0,0,0,798,1.0,82,274,261,0,13,168,0,resource_finder|execution
adversarial-prompts-docs-codex::codex,adversarial-prompts-docs-codex,codex,2,0,0,306,2,0,0,305,0.9967320261437909,106,92,83,5,9,10,0,resource_finder|execution
adversarial-tone-llm-2ab2-claude::claude,adversarial-tone-llm-2ab2-claude,claude,2,0,0,308,0,4,0,308,1.0,38,110,103,0,7,46,4,resource_finder|execution
adversarial_prompt_injection_v_20260728_181355_db6fd146::claude,adversarial_prompt_injection_v_20260728_181355_db6fd146,claude,1,0,0,3,0,0,0,3,1.0,1,0,0,0,1,1,0,resource_finder
adversarial_prompt_injection_v_20260729_000827_3a2a967e::gemini,adversarial_prompt_injection_v_20260729_000827_3a2a967e,gemini,1,1,0,0,2,0,0,0,,0,0,0,0,0,0,0,resource_finder
agents-avoid-collapse-2361-claude::claude,agents-avoid-collapse-2361-claude,claude,1,0,0,490,0,9,0,458,0.9346938775510204,16,157,149,0,8,119,9,resource_finder
agents-avoid-collapse-4c30-gemini::gemini,agents-avoid-collapse-4c30-gemini,gemini,2,0,0,238,6,0,0,238,1.0,130,52,52,0,0,4,0,resource_finder|execution
agents-avoid-collapse-6c08-codex::codex,agents-avoid-collapse-6c08-codex,codex,2,0,0,403,6,6,0,380,0.9429280397022333,55,147,137,15,10,10,6,resource_finder|execution
ai-driven-invention-03d7-gemini::gemini,ai-driven-invention-03d7-gemini,gemini,2,0,0,197,10,0,0,197,1.0,38,77,78,0,0,4,0,resource_finder|execution
ai-driven-invention-4088-claude::claude,ai-driven-invention-4088-claude,claude,2,0,0,873,0,0,0,797,0.9129438717067583,69,124,122,0,2,480,0,resource_finder|execution
ai-driven-invention-9655-codex::codex,ai-driven-invention-9655-codex,codex,2,0,0,462,4,9,0,442,0.9567099567099567,117,148,143,9,5,11,9,resource_finder|execution
ai-human-comm-codex::codex,ai-human-comm-codex,codex,1,0,0,157,1,0,0,156,0.9936305732484076,54,45,38,6,7,6,0,resource_finder
ai-human-communication-claude::claude,ai-human-communication-claude,claude,2,2,0,0,59,0,0,0,,0,0,0,0,0,0,0,resource_finder|execution
ai-human-communication-gemini::gemini,ai-human-communication-gemini,gemini,2,0,0,352,30,0,0,352,1.0,154,97,93,0,4,4,0,resource_finder|execution
ai-methods-durability-codex::codex,ai-methods-durability-codex,codex,2,0,0,331,2,0,0,329,0.9939577039274925,119,88,77,19,11,15,0,resource_finder|execution
ai-methods-durability-gemini::gemini,ai-methods-durability-gemini,gemini,2,0,0,665,49,0,0,665,1.0,283,189,181,0,8,4,0,resource_finder|execution
ai-review-equilibrium-claude::claude,ai-review-equilibrium-claude,claude,2,2,0,0,69,0,0,0,,0,0,0,0,0,0,0,resource_finder|execution
