repo_name,run_created_at,era,has_autoresearch_runtime_path,has_hitl_runtime_path,has_autoresearch_runtime_content,has_hitl_runtime_content,suspicious_nonstandard,autoresearch_examples,hitl_examples
llms-expose-science-claude,,legacy_no_exact_run_time,False,False,False,False,False,,
ai-human-communication-claude,,legacy_no_exact_run_time,False,False,False,False,False,,
llm-nonsense-commands-codex,,legacy_no_exact_run_time,False,False,False,False,False,,
llms-expose-science-codex,,legacy_no_exact_run_time,False,False,False,False,False,,
ai-human-comm-codex,,legacy_no_exact_run_time,False,False,False,False,False,,
llm-nonsense-commands-gemini,,legacy_no_exact_run_time,False,False,False,False,False,,
llms-expose-science-gemini,,legacy_no_exact_run_time,False,False,False,False,False,,
ai-human-communication-gemini,,legacy_no_exact_run_time,False,False,False,False,False,,
llm-nonsense-commands-claude,2026-03-22T03:08:01.165836,pre_autoresearch,False,False,False,False,False,,
collab-disagreement-claude,,legacy_no_exact_run_time,False,False,False,False,False,,
collab-disagreement-codex,,legacy_no_exact_run_time,False,False,False,False,False,,
collab-disagreement-gemini,,legacy_no_exact_run_time,False,False,False,False,False,,
evolved-desire-llms-gemini,,legacy_no_exact_run_time,False,False,False,False,False,,
evolved-desire-llms-codex,,legacy_no_exact_run_time,False,False,False,False,False,,
evolved-desire-llms-claude,2026-03-23T19:47:31.920433,pre_autoresearch,False,False,False,False,False,,
ai-methods-durability-gemini,,legacy_no_exact_run_time,False,False,False,False,False,,
ai-methods-durability-codex,,legacy_no_exact_run_time,False,False,False,False,False,,
model-character-limit-gemini,,legacy_no_exact_run_time,False,False,False,False,False,,
model-character-limit-codex,,legacy_no_exact_run_time,False,False,False,False,False,,
model-character-limit-claude,2026-03-22T23:12:57.790494,pre_autoresearch,False,False,False,False,False,,
constrain-llm-behavior-codex,,legacy_no_exact_run_time,False,False,False,False,False,,
llm-behavior-constraints-claude,,legacy_no_exact_run_time,False,False,False,False,False,,
ai-review-equilibrium-codex,,legacy_no_exact_run_time,False,False,False,False,False,,
ai-review-equilibrium-claude,,legacy_no_exact_run_time,False,False,False,False,False,,
ai-review-equilibrium-gemini,,legacy_no_exact_run_time,False,False,False,False,False,,
hide-prompts-length-gemini,,legacy_no_exact_run_time,False,False,False,False,False,,
adversarial-prompts-docs-codex,,legacy_no_exact_run_time,False,False,False,False,False,,
adversarial-prompts-claude,2026-03-22T03:08:01.938773,pre_autoresearch,False,False,False,False,False,,
latent-visual-reasoning-gemini,,legacy_no_exact_run_time,False,False,False,False,False,,
llm-keeping-secrets-gemini,,legacy_no_exact_run_time,False,False,False,False,False,,
latent-visual-reasoning-claude,,legacy_no_exact_run_time,False,False,False,False,False,,
latent-visual-reasoning-codex,,legacy_no_exact_run_time,False,False,False,False,False,,
llms-keep-secrets-codex,,legacy_no_exact_run_time,False,False,False,False,False,,
llms-keep-secrets-claude,,legacy_no_exact_run_time,False,False,False,False,False,,
auto-opt-pde-solver-claude,,legacy_no_exact_run_time,False,False,False,False,False,,
llm-epistemic-belief-claude,,legacy_no_exact_run_time,False,False,False,False,False,,
humor-recognition-llm-gemini,,legacy_no_exact_run_time,False,False,False,False,False,,
multi-scale-nested-gemini,,legacy_no_exact_run_time,False,False,False,False,False,,
recursion-visual-text-gemini,,legacy_no_exact_run_time,False,False,False,False,False,,
humor-recognition-llm-claude,2026-03-21T07:29:07.720057,pre_autoresearch,False,False,False,False,False,,
multi-scale-nested-claude,,legacy_no_exact_run_time,False,False,False,False,False,,
recursion-visual-text-claude,,legacy_no_exact_run_time,False,False,False,False,False,,
emergent-misalignment-claude,,legacy_no_exact_run_time,False,False,False,False,False,,
llm-human-vs-llm-ffea-gemini,,legacy_no_exact_run_time,False,False,False,False,False,,
ai-undetectability-lb-dd40-gemini,,legacy_no_exact_run_time,False,False,False,False,False,,
llm-human-vs-llm-54c9-claude,,legacy_no_exact_run_time,False,False,False,False,False,,
llm-linguistic-eval-62f9-gemini,,legacy_no_exact_run_time,False,False,False,False,False,,
ai-undetectability-lb-433c-claude,,legacy_no_exact_run_time,False,False,False,False,False,,
llm-linguistic-eval-bb29-claude,,legacy_no_exact_run_time,False,False,False,False,False,,
auto-opt-pde-solver-65e0,,legacy_no_exact_run_time,False,False,False,False,False,,
natural-hallucinations-1245-gemini,,legacy_no_exact_run_time,False,False,False,False,False,,
natural-hallucinations-claude,2026-03-20T15:41:37.583589,pre_autoresearch,False,False,False,False,False,,
llm-output-length-claude,,legacy_no_exact_run_time,False,False,False,False,False,,
mechanistic-llm-tools-claude,,legacy_no_exact_run_time,False,False,False,False,False,,
natural-hallucinations-codex,,legacy_no_exact_run_time,False,False,False,False,False,,
llm-output-length-codex,,legacy_no_exact_run_time,False,False,False,False,False,,
llm-tool-selection-codex,,legacy_no_exact_run_time,False,False,False,False,False,,
llm-output-length-gemini,,legacy_no_exact_run_time,False,False,False,False,False,,
mechanistic-llm-tools-gemini,,legacy_no_exact_run_time,False,False,False,False,False,,
fix-lazy-llms-claude,,legacy_no_exact_run_time,False,False,False,False,False,,
fix-lazy-llms-codex,,legacy_no_exact_run_time,False,False,False,False,False,,
fix-lazy-llms-gemini,,legacy_no_exact_run_time,False,False,False,False,False,,
news-from-future-ai-claude,,legacy_no_exact_run_time,False,False,False,False,False,,
news-future-ai-codex,,legacy_no_exact_run_time,False,False,False,False,False,,
news-future-ai-gemini,,legacy_no_exact_run_time,False,False,False,False,False,,
isolate-knowledge-updates-claude,2026-03-22T13:54:52.459997,pre_autoresearch,False,False,False,False,False,,
isolate-knowledge-updates-codex,,legacy_no_exact_run_time,False,False,False,False,False,,
isolate-knowledge-updates-gemini,,legacy_no_exact_run_time,False,False,False,False,False,,
carrot-or-stick-nlp-e135-claude,,legacy_no_exact_run_time,False,False,False,False,False,,
carrot-or-stick-nlp-gemini,,legacy_no_exact_run_time,False,False,False,False,False,,
carrot-or-stick-nlp-codex,,legacy_no_exact_run_time,False,False,False,False,False,,
llm-washing-machine-gemini,,legacy_no_exact_run_time,False,False,False,False,False,,
llm-washing-machine-codex,,legacy_no_exact_run_time,False,False,False,False,False,,
