repo_name,repo_status,provider,run_created_at,repo_created_at,capability_era,temporal_source,has_pipeline_state,has_pipeline_results,has_autoresearch_runtime,has_hitl_runtime,mode,confidence,mode_source,autoresearch_examples,hitl_examples
llms-expose-science-claude,executed,claude,,2025-12-14T22:45:32Z,unknown,none,False,False,False,False,unknown,low,insufficient_runtime_evidence,,
ai-human-communication-claude,executed,claude,,2025-12-15T00:11:12Z,unknown,none,False,False,False,False,unknown,low,insufficient_runtime_evidence,,
llm-nonsense-commands-codex,executed,codex,,2025-12-15T01:14:17Z,unknown,none,False,False,False,False,unknown,low,insufficient_runtime_evidence,,
llms-expose-science-codex,executed,codex,,2025-12-15T01:14:55Z,unknown,none,False,False,False,False,unknown,low,insufficient_runtime_evidence,,
ai-human-comm-codex,executed,codex,,2025-12-15T01:58:17Z,unknown,none,False,False,False,False,unknown,low,insufficient_runtime_evidence,,
llm-nonsense-commands-gemini,executed,gemini,,2025-12-15T03:38:50Z,unknown,none,False,False,False,False,unknown,low,insufficient_runtime_evidence,,
llms-expose-science-gemini,executed,gemini,,2025-12-15T05:15:54Z,unknown,none,False,False,False,False,unknown,low,insufficient_runtime_evidence,,
ai-human-communication-gemini,executed,gemini,,2025-12-15T05:16:07Z,unknown,none,False,False,False,False,unknown,low,insufficient_runtime_evidence,,
llm-nonsense-commands-claude,executed,codex,2026-03-22T03:08:01.165836,2025-12-16T08:25:23Z,pre_autoresearch,run_created_at,True,True,False,False,standard,high,run_timestamp_pre_autoresearch,,
collab-disagreement-claude,executed,claude,,2025-12-22T04:02:25Z,unknown,none,False,False,False,False,unknown,low,insufficient_runtime_evidence,,
collab-disagreement-codex,executed,codex,,2025-12-22T04:03:00Z,unknown,none,False,False,False,False,unknown,low,insufficient_runtime_evidence,,
collab-disagreement-gemini,executed,gemini,,2025-12-22T04:03:12Z,unknown,none,False,False,False,False,unknown,low,insufficient_runtime_evidence,,
evolved-desire-llms-gemini,executed,gemini,,2025-12-22T05:03:12Z,unknown,none,False,False,False,False,unknown,low,insufficient_runtime_evidence,,
evolved-desire-llms-codex,executed,codex,,2025-12-22T06:25:18Z,unknown,none,False,False,False,False,unknown,low,insufficient_runtime_evidence,,
evolved-desire-llms-claude,executed,codex,2026-03-23T19:47:31.920433,2025-12-22T06:25:35Z,pre_autoresearch,run_created_at,True,True,False,False,standard,high,run_timestamp_pre_autoresearch,,
ai-methods-durability-gemini,executed,gemini,,2025-12-22T06:26:00Z,unknown,none,False,False,False,False,unknown,low,insufficient_runtime_evidence,,
ai-methods-durability-codex,executed,codex,,2025-12-22T06:47:08Z,unknown,none,False,False,False,False,unknown,low,insufficient_runtime_evidence,,
ai-methods-durability-claude,unclassified_content,claude,,2025-12-22T18:35:56Z,unknown,none,False,False,False,False,unknown,low,insufficient_runtime_evidence,,
model-character-limit-gemini,executed,gemini,,2025-12-29T00:36:34Z,unknown,none,False,False,False,False,unknown,low,insufficient_runtime_evidence,,
model-character-limit-codex,executed,codex,,2025-12-29T00:36:44Z,unknown,none,False,False,False,False,unknown,low,insufficient_runtime_evidence,,
model-character-limit-claude,executed,codex,2026-03-22T23:12:57.790494,2025-12-29T00:36:50Z,pre_autoresearch,run_created_at,True,True,False,False,standard,high,run_timestamp_pre_autoresearch,,
constrain-llm-behavior-codex,executed,codex,,2025-12-29T01:10:30Z,unknown,none,False,False,False,False,unknown,low,insufficient_runtime_evidence,,
llm-behavior-constraints-claude,executed,claude,,2025-12-29T05:35:14Z,unknown,none,False,False,False,False,unknown,low,insufficient_runtime_evidence,,
constrain-llm-behavior-gemini,unclassified_content,gemini,,2025-12-29T05:35:22Z,unknown,none,False,False,False,False,unknown,low,insufficient_runtime_evidence,,
ai-review-equilibrium-codex,executed,codex,,2025-12-29T05:35:38Z,unknown,none,False,False,False,False,unknown,low,insufficient_runtime_evidence,,
ai-review-equilibrium-claude,executed,claude,,2025-12-29T18:27:46Z,unknown,none,False,False,False,False,unknown,low,insufficient_runtime_evidence,,
ai-review-equilibrium-gemini,executed,gemini,,2025-12-30T17:29:37Z,unknown,none,False,False,False,False,unknown,low,insufficient_runtime_evidence,,
hide-prompts-length-gemini,executed,gemini,,2026-01-03T20:57:58Z,unknown,none,False,False,False,False,unknown,low,insufficient_runtime_evidence,,
adversarial-prompts-docs-codex,executed,codex,,2026-01-03T20:58:10Z,unknown,none,False,False,False,False,unknown,low,insufficient_runtime_evidence,,
adversarial-prompts-claude,executed,codex,2026-03-22T03:08:01.938773,2026-01-03T20:58:20Z,pre_autoresearch,run_created_at,True,True,False,False,standard,high,run_timestamp_pre_autoresearch,,
latent-visual-reasoning-gemini,executed,gemini,,2026-01-03T23:04:08Z,unknown,none,False,False,False,False,unknown,low,insufficient_runtime_evidence,,
llm-keeping-secrets-gemini,executed,gemini,,2026-01-04T22:56:59Z,unknown,none,False,False,False,False,unknown,low,insufficient_runtime_evidence,,
latent-visual-reasoning-claude,executed,claude,,2026-01-04T23:06:28Z,unknown,none,False,False,False,False,unknown,low,insufficient_runtime_evidence,,
latent-visual-reasoning-codex,executed,codex,,2026-01-04T23:06:34Z,unknown,none,False,False,False,False,unknown,low,insufficient_runtime_evidence,,
llms-keep-secrets-codex,executed,codex,,2026-01-04T23:37:28Z,unknown,none,False,False,False,False,unknown,low,insufficient_runtime_evidence,,
llms-keep-secrets-claude,executed,claude,,2026-01-04T23:37:38Z,unknown,none,False,False,False,False,unknown,low,insufficient_runtime_evidence,,
auto-opt-pde-solver-claude,executed,claude,,2026-01-06T16:48:28Z,unknown,none,False,False,False,False,unknown,low,insufficient_runtime_evidence,,
